epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.152,1.77382,29.4208,1.78249,0.06751,0.36364,0.1652,0.04884,2.31752,21.5288,2.42865,0.000464715,0.000464715,0.000464715
2,421.384,1.82398,27.1537,1.94327,0.10204,0.34091,0.20232,0.08125,2.20142,19.2675,2.28579,0.000847885,0.000847885,0.000847885
3,631.899,1.67945,27.413,1.82034,0.09929,0.31818,0.19555,0.07527,2.20142,19.2675,2.28579,0.00113674,0.00113674,0.00113674
4,812.059,1.6696,23.7227,1.82696,0.20386,0.15909,0.102,0.03332,2.32011,22.2598,2.2865,0.00100459,0.00100459,0.00100459
5,985.454,1.67866,23.1843,1.80907,0.28206,0.15909,0.10889,0.04641,2.02274,17.8877,2.37849,0.000863116,0.000863116,0.000863116
6,1188.61,1.31277,25.1884,1.57625,0.28206,0.15909,0.10889,0.04641,2.02274,17.8877,2.37849,0.000721645,0.000721645,0.000721645
7,1422.8,1.4206,23.7776,1.64956,0.14782,0.15909,0.08823,0.03773,2.023,16.5396,2.41663,0.000580174,0.000580174,0.000580174
8,1578.79,1.46759,22.4703,1.60457,0.21821,0.22727,0.11731,0.03825,2.10048,18.1081,2.28906,0.000438703,0.000438703,0.000438703
9,1763.18,1.58851,23.6685,1.67791,0.21821,0.22727,0.11479,0.03713,2.10048,18.1081,2.28906,0.000297232,0.000297232,0.000297232
10,1986.3,1.57218,22.7555,1.73465,0.22261,0.22727,0.13126,0.04224,2.05278,17.0082,2.19959,0.000155761,0.000155761,0.000155761
